name,url,author,num_watch,num_stars,num_forks,num_open_issues,last_updated
awesome-fortran,https://github.com/rabbiabram/awesome-fortran,rabbiabram,31,31,10,2,2014-07-16T05:47:52Z
awesome-fp-js,https://github.com/stoeffel/awesome-fp-js,stoeffel,19,19,1,2,2015-05-15T07:40:29Z
awesome-github,https://github.com/fffaraz/awesome-github,fffaraz,44,44,10,2,2014-07-28T19:18:55Z
awesome-github,https://github.com/Kikobeats/awesome-github,Kikobeats,91,91,7,1,2014-09-27T12:03:59Z
awesome-github-repo,https://github.com/flyhigher139/awesome-github-repo,flyhigher139,405,405,97,0,2014-03-12T06:10:09Z
awesome-go,https://github.com/avelino/awesome-go,avelino,7892,7892,813,34,2014-07-06T13:42:15Z
awesome-go-books,https://github.com/airballoon/awesome-go-books,heatroom,4,4,0,0,2014-08-15T10:07:05Z
awesome-grails,https://github.com/hitenpratap/awesome-grails,hitenpratap,0,0,1,0,2014-07-17T05:34:06Z
awesome-groovy,https://github.com/kdabir/awesome-groovy,kdabir,171,171,11,1,2014-07-11T18:29:19Z
awesome-hadoop,https://github.com/youngwookim/awesome-hadoop,youngwookim,181,181,52,0,2014-07-08T05:14:21Z
awesome-haskell,https://github.com/krispo/awesome-haskell,krispo,405,405,39,3,2014-07-13T14:08:56Z
awesome-hierarchical-matrices,https://github.com/gchavez2/awesome-hierarchical-matrices,gchavez2,0,0,0,0,2014-07-16T07:50:51Z
awesome-honeypots,https://github.com/paralax/awesome-honeypots,paralax,261,261,51,2,2015-06-18T12:57:01Z
awesome-html5,https://github.com/diegocard/awesome-html5,diegocard,299,299,22,0,2014-07-02T15:49:54Z
awesome-IoT-hybrid,https://github.com/weblancaster/awesome-hybrid,weblancaster,85,85,11,1,2014-12-10T19:55:16Z
awesome-influxdb,https://github.com/mark-rushakoff/awesome-influxdb,mark-rushakoff,22,22,2,0,2015-07-20T01:24:44Z
awesome-ios,https://github.com/vsouza/awesome-ios,vsouza,5871,5871,913,2,2014-07-10T16:03:45Z
awesome-ios-ui,https://github.com/cjwirth/awesome-ios-ui,cjwirth,5959,5959,579,6,2015-04-07T11:01:23Z
awesome-IoT,https://github.com/dharmeshkakadia/awesome-IoT,dharmeshkakadia,7,7,0,0,2014-09-15T17:17:16Z
awesome-java,https://github.com/akullpp/awesome-java,akullpp,3579,3579,691,18,2014-07-09T10:12:43Z
awesome-javascript,https://github.com/sorrycc/awesome-javascript,sorrycc,3687,3687,452,18,2014-07-01T15:59:02Z
awesome-javascript-books,https://github.com/airballoon/awesome-javascript-books,heatroom,44,44,5,0,2014-07-31T02:40:24Z
